name,price,type,max_motherboard_form_factor,color,included_psu_wattage,has_included_psu,side_panel,external_volume,internal_35_bays,price_available,brand
SHARKOON S1000,,MicroATX Mini Tower,Micro ATX,Black,,False,Solid,35.5,2,False,SHARKOON
Aerocool Aero-500,,ATX Mid Tower,ATX,White / Black,,False,Solid,45.1,4,False,Aerocool
Thermaltake The Tower 100,,Mini ITX Tower,Mini ITX,Black,,False,Tempered Glass,32.7,2,False,Thermaltake
Lian Li A3-mATX,1459.6,MicroATX Mini Tower,Micro ATX,Black,,False,Mesh,26.3,1,True,Lian Li
MSI MAG PANO M100R PZ,2599.8,MicroATX Mid Tower,Micro ATX,White,,False,Tempered Glass,41.9,1,True,MSI
Topower TP-1687BS-400,,MicroATX Desktop,Micro ATX,Black / Silver,400.0,True,Solid,15.4,1,False,Topower
YEYIAN Mirage X,5609.0,ATX Full Tower,ATX,Black,,False,Tempered Glass,60.4,1,True,YEYIAN
Jonsbo TR03-G,,ATX Mid Tower,ATX,Silver,,False,Tempered Glass,95.3,3,False,Jonsbo
Silverstone TJ09-B,,ATX Full Tower,ATX,Black,,False,Solid,66.6,6,False,SilverStone
PC Cooler CPS C3D310 ARGB,,MicroATX Mid Tower,Micro ATX,Black,,False,Tempered Glass,36.6,2,False,PC Cooler
Corsair 2000D AIRFLOW,2799.8,Mini ITX Tower,Mini ITX,Black,,False,Mesh,24.8,0,True,Corsair
Lian Li PC-Q08,,Mini ITX Tower,Mini ITX,Silver,,False,Solid,21.2,6,False,Lian Li
be quiet! Silent Base 801,,ATX Mid Tower,ATX,Black,,False,Solid,,5,False,be quiet!
HEC 6C11BBX585,,ATX Mid Tower,ATX,Black,585.0,True,Solid,38.4,3,False,HEC
DIYPC Skyline-06,,ATX Full Tower,ATX,Black / Blue,,False,Acrylic,,3,False,DIYPC
GameMax Spark,,MicroATX Mid Tower,Micro ATX,White,,False,Tempered Glass,26.5,1,False,GameMax
Lian Li LANCOOL 206,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,49.6,3,False,Lian Li
Linkworld 43706-228FU+P04,,MicroATX Mid Tower,Micro ATX,Black,430.0,True,Solid,23.2,2,False,Linkworld
Chieftec BT-02B-U3-250VS (230V),3315.6,Mini ITX Tower,Mini ITX,,250.0,True,Solid,9.6,1,True,Chieftec
DIYPC ARGB-N1,1439.8,MicroATX Mid Tower,Micro ATX,White,,False,Tempered Glass,44.7,2,True,DIYPC
MagniumGear Neo-G Mini V2,,Mini ITX Tower,Mini ITX,Black,,False,Tempered Glass,,1,False,MagniumGear
Mars Gaming MC-CORE,2076.0,MicroATX Mid Tower,Micro ATX,Black,,False,Tempered Glass,14.6,3,True,Mars Gaming
Zalman Z7,,ATX Mid Tower,ATX,Black,,False,Solid,48.4,5,False,Zalman
BitFenix Colossus Micro,4600.0,MicroATX Mid Tower,Micro ATX,Black,,False,Solid,30.6,4,True,BitFenix
Corsair iCUE LINK 3500X RGB,3199.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,55.9,2,True,Corsair
Antec Performance 1 SILENT,,ATX Full Tower,ATX,Black / Silver,,False,Solid,62.7,2,False,Antec
Cooler Master HAF 500,1999.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,,2,True,Cooler Master
Athenatech A1089BB.150,,Mini ITX Tower,Mini ITX,Black,150.0,True,Solid,9.9,1,False,Athenatech
GameMax Gamboge,,ATX Mid Tower,ATX,Black / Orange,,False,Acrylic,46.4,2,False,GameMax
Thermaltake SD101,,Mini ITX Tower,Mini ITX,Black,180.0,True,Acrylic,8.2,1,False,Thermaltake
Silverstone PS07B,,MicroATX Mini Tower,Micro ATX,Black,,False,Solid,31.4,5,False,SilverStone
Montech Air 900 ARGB,,ATX Mid Tower,ATX,White,,False,Tempered Glass,44.0,2,False,Montech
Thermaltake AX700,8099.6,ATX Full Tower,ATX,White,,False,Mesh,141.4,18,True,Thermaltake
Raidmax Icecube,,MicroATX Desktop,Micro ATX,Black,,False,Solid,33.1,4,False,Raidmax
Deepcool CH160,,Mini ITX Desktop,Mini ITX,Black,,False,Tempered Glass,19.1,1,False,DeepCool
Phanteks Eclipse P400S,,ATX Mid Tower,ATX,Black / White,,False,Tinted Tempered Glass,45.9,2,False,Phanteks
PC Cooler I100 PRO MESH,2033.8,Mini ITX Desktop,Mini ITX,Gray,,False,Mesh,7.5,1,True,PC Cooler
Razer Tomahawk Mini-ITX,3599.8,Mini ITX Tower,Mini ITX,Black / Green,,False,Tinted Tempered Glass,,0,True,Razer
Cooler Master MasterBox Lite 3.1,,MicroATX Mid Tower,Micro ATX,Black,,False,Acrylic,36.1,2,False,Cooler Master
Rosewill R379-M,,MicroATX Slim,Micro ATX,Black / Silver,300.0,True,Solid,12.9,1,False,Rosewill
Ocypus Gamma C50,,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,34.6,2,False,Ocypus
Aerocool P7-C1,,ATX Mid Tower,ATX,White,,False,Acrylic,60.2,2,False,Aerocool
Fractal Design Terra,3599.8,Mini ITX Desktop,Mini ITX,Black / Brown,,False,Mesh,11.4,0,True,Fractal Design
Vetroo M03,,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,36.1,2,False,Vetroo
Raidmax Magnus,,ATX Mid Tower,ATX,White / Black,,False,Tempered Glass,85.7,2,False,Raidmax
Sigma ORCA-B,,ATX Mid Tower,ATX,Black / Silver,,False,Solid,38.9,4,False,Sigma
Corsair 6500D Airflow,3002.0,ATX Mid Tower,ATX,White,,False,Tempered Glass,78.3,2,True,Corsair
Athena Power CA-1015CR47,,MicroATX Slim,Micro ATX,Black / Red,470.0,True,Solid,18.1,1,False,Athena Power
GAMDIAS ATHENA E1,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,,2,False,GAMDIAS
Ultra Rogue M925,,ATX Full Tower,ATX,Black,,False,Solid,61.9,8,False,Ultra
CiT MTX-005B,,Mini ITX Tower,Mini ITX,Black,300.0,True,Solid,,1,False,CiT
NZXT H710i,,ATX Mid Tower,ATX,White,,False,Tempered Glass,58.6,4,False,NZXT
SAMA SV01,1599.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,43.5,2,True,SAMA
Linkworld 43716-128FU+P04,,MicroATX Mini Tower,Micro ATX,Black / Silver,430.0,True,Solid,23.2,1,False,Linkworld
FSP Group S380,,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,48.2,2,False,FSP
Chieftec CI-01B-OP,3697.6,MicroATX Desktop,Micro ATX,Black,,False,Solid,33.6,2,True,Chieftec
Jonsbo D31 MESH,1759.8,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,31.3,1,True,Jonsbo
DIYPC S280,,ATX Mid Tower,ATX,White,,False,Acrylic,,4,False,DIYPC
Antec P6,,MicroATX Mid Tower,Micro ATX,Black,,False,Tempered Glass,38.1,2,False,Antec
Jonsbo T6,,Mini ITX Tower,Mini ITX,Black / Brown,,False,Solid,13.7,0,False,Jonsbo
Sentey Ss6-2441,,MicroATX Mini Tower,Micro ATX,White,,False,Solid,,2,False,Sentey
Nanoxia Rexgear 1,,MicroATX Desktop,Micro ATX,Black,,False,Acrylic,,3,False,Nanoxia
NZXT H510i,,ATX Mid Tower,ATX,White,,False,Tempered Glass,41.3,2,False,NZXT
Antec Minuet,,MicroATX Slim,Micro ATX,Black / White,350.0,True,Solid,13.3,1,False,Antec
NZXT Duet,,HTPC,Mini ITX,Black / Silver,,False,Solid,30.3,1,False,NZXT
Fractal Design Define 7 Dark,4099.8,ATX Mid Tower,ATX,Black,,False,Tinted Tempered Glass,62.4,6,True,Fractal Design
Silverstone PS09B,,MicroATX Mid Tower,Micro ATX,Black,,False,Solid,24.6,4,False,SilverStone
Antec CX600M ARGB,1614.6,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,46.8,1,True,Antec
Cooler Master MasterBox NR200,1345.8,Mini ITX Desktop,Mini ITX,Black,,False,Solid,20.3,2,True,Cooler Master
Tecware Forge M2,,MicroATX Mid Tower,Micro ATX,Black,,False,Tempered Glass,27.3,2,False,Tecware
Xion XON-720P,,MicroATX Slim,Micro ATX,White,300.0,True,Solid,10.4,1,False,Xion
nMEDIAPC HTPC 1800B,,HTPC,Mini ITX,Black,,False,Solid,5.8,0,False,nMEDIAPC
Antec Mini P180,,MicroATX Mini Tower,Micro ATX,White,,False,Solid,39.7,5,False,Antec
Cooler Master MasterBox MB600L V2 w/ODD,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,42.7,2,False,Cooler Master
Lian Li PC-P50,,ATX Mid Tower,ATX,Black,,False,Solid,50.8,3,False,Lian Li
KOLINK Rocket Complex,,Mini ITX Tower,Mini ITX,Black,,False,Mesh,20.4,0,False,KOLINK
Fractal Design Ridge PCIe 4.0,2859.4,Mini ITX Tower,Mini ITX,White,,False,Mesh,16.3,0,True,Fractal Design
Phanteks Mini XL,,MicroATX Desktop,Micro ATX,Black,,False,Acrylic,,6,False,Phanteks
Lian Li PC-T7,,Mini ITX Test Bench,Mini ITX,Black,,False,Solid,18.6,1,False,Lian Li
Enermax MarbleShell MS21 RGB,,MicroATX Mid Tower,Micro ATX,White,,False,Tempered Glass,33.8,2,False,Enermax
Jonsbo TR03-A,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,95.3,3,False,Jonsbo
CiT F3,,MicroATX Mini Tower,Micro ATX,Black / Blue,,False,Acrylic,,2,False,CiT
APNX C1-R,,ATX Mid Tower,ATX,Blue,,False,Tempered Glass,53.6,3,False,APNX
Raidmax ATX-615WUP,,ATX Mid Tower,ATX,Black / Blue,500.0,True,Solid,47.7,4,False,Raidmax
Asus ROG Strix Helios,4699.39,ATX Full Tower,ATX,Black,,False,Tempered Glass,83.5,2,True,ASUS
Thermaltake Chaser A31 Snow White,,ATX Mid Tower,ATX,White,,False,Acrylic,52.7,6,False,Thermaltake
Cougar MX410 MESH-G RGB,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,36.3,2,False,Cougar
Lian Li PC-Q04,,Mini ITX Tower,Mini ITX,Silver,,False,Solid,,2,False,Lian Li
RIOTORO CR400,,ATX Mid Tower,ATX,Black,,False,Acrylic,43.0,2,False,RIOTORO
Thermaltake Level 20 VT,,MicroATX Desktop,Micro ATX,Black / Silver,,False,Tempered Glass,49.4,3,False,Thermaltake
BitFenix Colossus,,ATX Full Tower,ATX,White,,False,Solid,79.0,7,False,BitFenix
Zalman P10,,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,,2,False,Zalman
Topower TP-6208BB-450,,ATX Mid Tower,ATX,Black / Silver,450.0,True,Solid,33.4,6,False,Topower
Sunbeam IC-EVO,,ATX Mid Tower,ATX,Black,,False,Acrylic,38.5,5,False,Sunbeam
ADATA XPG INVADER,1698.6,ATX Mid Tower,ATX,Black,,False,Tempered Glass,,2,True,XPG
Rosewill THOR V2,,ATX Full Tower,ATX,White / Black,,False,Solid,74.8,6,False,Rosewill
Zalman Z1 Iceberg,,MicroATX Mid Tower,Micro ATX,Black,,False,Tempered Glass,38.5,2,False,Zalman
Corsair 4000D Airflow,,ATX Mid Tower,ATX,White,850.0,True,Tempered Glass,48.6,2,False,Corsair
Corsair Crystal 280X RGB,4799.8,MicroATX Mid Tower,Micro ATX,White,,False,Tempered Glass,,2,True,Corsair
DIYPC FM08,,ATX Mid Tower,ATX,Black / Blue,,False,Solid,33.8,2,False,DIYPC
In Win 901,,Mini ITX Tower,Mini ITX,Black / Gold,,False,Tempered Glass,,2,False,In Win
Apevia X-Telstar-Jr G-Type,,ATX Mid Tower,ATX,Silver,,False,Acrylic,42.3,3,False,Apevia
MagniumGear Neo Mini V2,,Mini ITX Desktop,Mini ITX,Black,,False,Tempered Glass,,1,False,MagniumGear
NZXT S340 Elite,,ATX Mid Tower,ATX,Black / Red,,False,Tempered Glass,41.6,2,False,NZXT
Silverstone ALTA G1M,3674.2,MicroATX Mid Tower,Micro ATX,White,,False,Solid,,4,True,SilverStone
Streacom DA2,,Mini ITX Desktop,Mini ITX,Black,,False,Solid,,3,False,Streacom
DIYPC Alpha-DB6,,ATX Test Bench,ATX,Black,,False,Solid,21.8,0,False,DIYPC
HEC 98R9BB,,ATX Full Tower,ATX,Black,,False,Solid,78.6,5,False,HEC
SSUPD Meshroom D,,Mini ITX Desktop,Mini ITX,White,,False,Mesh,15.0,3,False,SSUPD
Lian Li PC-A61,,ATX Mid Tower,ATX,Black,,False,Acrylic,57.4,6,False,Lian Li
Xigmatek GIGAS,,MicroATX Desktop,Micro ATX,Silver,,False,Solid,35.2,6,False,Xigmatek
Silverstone SG13 V2,1482.6,Mini ITX Tower,Mini ITX,Black,,False,Solid,11.5,1,True,SilverStone
In Win D-FRAME,,ATX Desktop,ATX,Red,,False,Acrylic,97.5,3,False,In Win
Noua Fobia L8,,MicroATX Mid Tower,Micro ATX,White,,False,Tempered Glass,32.7,2,False,Noua
Lian Li PC-Q33,,Mini ITX Tower,Mini ITX,Black,,False,Solid,18.1,2,False,Lian Li
Deepcool MATREXX 30,,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,29.6,3,False,DeepCool
Thermaltake Divider 170 TG ARGB,,MicroATX Mid Tower,Micro ATX,Black,,False,Tempered Glass,36.5,2,False,Thermaltake
Gigabyte C301 GLASS,1999.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,50.6,2,True,Gigabyte
Logisys CS369BK,,ATX Mid Tower,ATX,Black,480.0,True,Solid,,4,False,Logisys
RAIJINTEK PAN Slim,,Mini ITX Desktop,Mini ITX,White,,False,Solid,38.7,2,False,RAIJINTEK
Anidees AI CRYSTAL XL PRO LITE,6197.79,ATX Full Tower,ATX,Black,,False,Tempered Glass,,0,True,Anidees
Cougar Gemini M,3188.6,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,35.7,2,True,Cougar
