name,price,speed,color,cas_latency,module_count,module_capacity_gb,brand
Corsair Vengeance RGB 32 GB,1899.8,"5,6000",Black,36.0,2,16,Corsair
G.Skill Flare X5 32 GB,1799.8,"5,6000",Black,36.0,2,16,G.Skill
Corsair Vengeance LPX 16 GB,919.8,"4,3200",Black / Yellow,16.0,2,8,Corsair
Corsair Vengeance 32 GB,2599.8,"5,6000",Black / Gray,30.0,2,16,Corsair
TEAMGROUP T-Create Expert 32 GB,1979.8,"5,6000",Black,30.0,2,16,TeamGroup
Corsair Vengeance LPX 32 GB,1559.6,"4,3600",Black / Yellow,18.0,2,16,Corsair
Crucial Pro Overclocking 32 GB,1699.8,"5,6000",Black,36.0,2,16,Crucial
G.Skill Trident Z5 RGB 64 GB,4699.8,"5,6400",Black / Silver,32.0,2,32,G.Skill
Corsair Vengeance RGB 64 GB,4599.8,"5,6000",Black,30.0,2,32,Corsair
TEAMGROUP T-Force Delta RGB 32 GB,2119.79,"5,6000",White,30.0,2,16,TeamGroup
G.Skill Trident Z5 Neo RGB 32 GB,2399.79,"5,6000",Black,30.0,2,16,G.Skill
Patriot Viper Venom 32 GB,1719.8,"5,6000",Black / White,30.0,2,16,Patriot
Corsair Vengeance RGB Pro 32 GB,2300.0,"4,3600",Black,18.0,2,16,Corsair
TEAMGROUP T-Force Delta RGB 32 GB,2119.79,"5,6000",Black,30.0,2,16,TeamGroup
Corsair Vengeance RGB 32 GB,1919.8,"5,6000",White / Silver,36.0,2,16,Corsair
Silicon Power GAMING 16 GB,659.4,"4,3200",Black / Gray,16.0,2,8,Silicon Power
TEAMGROUP T-Force Vulcan Z 16 GB,779.8,"4,3200",Black,16.0,2,8,TeamGroup
Corsair Vengeance LPX 32 GB,1439.6,"4,3200",Black / Yellow,16.0,2,16,Corsair
Kingston FURY Beast 32 GB,2459.79,"5,6000",Black,30.0,2,16,Kingston
G.Skill Trident Z5 Neo RGB 64 GB,4159.8,"5,6000",Black / Silver,30.0,2,32,G.Skill
G.Skill Ripjaws V 32 GB,1439.6,"4,3200",Black,16.0,2,16,G.Skill
TEAMGROUP T-Create Expert 32 GB,1979.8,"5,6000",White,30.0,2,16,TeamGroup
G.Skill Flare X5 32 GB,2199.79,"5,6000",Black,30.0,2,16,G.Skill
Kingston FURY Beast 16 GB,1258.59,"5,5200",Black,40.0,2,8,Kingston
Corsair Vengeance RGB Pro 16 GB,1099.8,"4,3200",Black,16.0,2,8,Corsair
