name,price,socket,form_factor,max_memory,memory_slots,color,price_available,brand
Gigabyte GA-X99-Gaming 7 WIFI,,LGA2011-3,EATX,64,8,Black / Red,False,Gigabyte
Gigabyte B560M DS3H,,LGA1200,Micro ATX,128,4,Black,False,Gigabyte
Asus P5QProTurbo,,LGA775,ATX,16,4,Multicolor,False,ASUS
MSI MAG Z690 TORPEDO,7733.6,LGA1700,ATX,192,4,Blue / Black,True,MSI
Asus PRIME H410M-K R3.0,,LGA1200,Micro ATX,64,2,Silver / Black,False,ASUS
Foxconn H81MXV-D,,LGA1150,Micro ATX,16,2,Black / Blue,False,Foxconn
MSI H97I AC,,LGA1150,Mini ITX,16,2,Black / Silver,False,MSI
Asus Z97-A,6999.8,LGA1150,ATX,32,4,Black / Gold,True,ASUS
ASRock FM2A85X Extreme6,,FM2,ATX,64,4,Black / Gold,False,ASRock
Gigabyte GA-G41M-ES2L,,LGA775,Micro ATX,8,2,Multicolor,False,Gigabyte
Gigabyte B660M GAMING X AX,,LGA1700,Micro ATX,192,4,Black,False,Gigabyte
EVGA 170-BL-E762-A1,,LGA1366,XL ATX,24,6,Black / Red,False,EVGA
Gigabyte GA-G1.SNIPER Z97,,LGA1150,ATX,32,4,Black / Red,False,Gigabyte
MSI E350IA-E45,,Integrated E-Series E-350,Mini ITX,8,2,Black / Blue,False,MSI
Supermicro C9Z490-PG,,LGA1200,ATX,128,4,Black,False,Supermicro
ASRock A785GM-LE/128M,1242.39,AM3/AM2+/AM2,Micro ATX,8,2,Multicolor,True,ASRock
Gigabyte Z890 GAMING X WIFI7,5199.8,LGA1851,ATX,256,4,Silver / Black,True,Gigabyte
Jetway JTA980AG,,AM3+,ATX,8,2,,False,Jetway
ECS NM70-I2(1.0),,Integrated Celeron 1037U,Mini ITX,16,2,Black / Gray,False,ECS
MSI MPG B760I EDGE WIFI,4399.8,LGA1700,Mini ITX,96,2,Black / Silver,True,MSI
Gigabyte GA-EP43T-USB3,,LGA775,ATX,16,4,Blue / White,False,Gigabyte
ASRock C70M1,,Integrated C-Series C-70,Mini ITX,16,2,Black / Blue,False,ASRock
MSI B250M MORTAR,,LGA1151,Micro ATX,64,4,Black / Red,False,MSI
EVGA 132-LF-E655-KR,,LGA1156,ATX,16,4,Black,False,EVGA
Gigabyte X870E AORUS PRO ICE,6599.8,AM5,ATX,256,4,White,True,Gigabyte
Biostar H81MHV3,,LGA1150,Micro ATX,16,2,Black / Yellow,False,Biostar
ASRock H610M-HDV,,LGA1700,Micro ATX,64,2,Gray / Black,False,ASRock
ASRock AD525PV3,,Integrated Atom D525,Mini ITX,8,2,Black / Blue,False,ASRock
MSI Creator TRX40,,sTRX4,EATX,256,8,Black / Silver,False,MSI
Asus P5P43TD/USB3,,LGA775,ATX,16,4,,False,ASUS
Biostar H410MH,,LGA1200,Micro ATX,64,2,Black,False,Biostar
Gigabyte GA-H110N,,LGA1151,Mini ITX,32,2,Black / Silver,False,Gigabyte
MSI Z170A-G43 PLUS,,LGA1151,ATX,64,4,Black / White,False,MSI
Gigabyte GA-F2A85X-D3H,,FM2,ATX,64,4,Black / Gray,False,Gigabyte
Asus PRIME B650M-A II-CSM,3199.8,AM5,Micro ATX,192,4,Silver / Black,True,ASUS
Biostar X470MH,,AM4,Micro ATX,32,2,Black,False,Biostar
ASRock B860 Lightning WiFi,2999.8,LGA1851,ATX,256,4,Black,True,ASRock
EVGA P55V,2493.8,LGA1156,Micro ATX,16,4,Black / Gray,True,EVGA
Asus ROG MAXIMUS Z690 EXTREME,,LGA1700,EATX,192,4,,False,ASUS
Gigabyte GA-880GM-UD2H,,AM3,Micro ATX,16,4,Blue / White,False,Gigabyte
MSI MEG Z390 GODLIKE,,LGA1151,EATX,128,4,Black,False,MSI
MSI MEG Z890 GODLIKE,21639.8,LGA1851,EATX,256,4,Black,True,MSI
Asus PRIME X570-PRO,8580.0,AM4,ATX,128,4,Black / White,True,ASUS
EVGA Classified,,LGA2011-3,EATX,128,8,Black / Red,False,EVGA
Asus Rampage III Black Edition,,LGA1366,EATX,48,6,Black / Gray,False,ASUS
Biostar Hi-Fi A88W 3D,,FM2+,ATX,64,4,Black / Blue,False,Biostar
Gigabyte X670 AORUS ELITE AX,4799.8,AM5,ATX,192,4,Black,True,Gigabyte
ECS A885GM-A2 (V1.1),,AM3,ATX,32,4,,False,ECS
Asus Prime X299-A II,4919.8,LGA2066,ATX,256,8,Silver / Black,True,ASUS
Intel DP35DPM,,LGA775,ATX,8,4,Black / Blue,False,Intel
ASRock A75 Pro4,,FM1,ATX,32,4,Black / Blue,False,ASRock
ASRock H370M-HDV,1499.6,LGA1151,Micro ATX,64,2,Black / Silver,True,ASRock
Asus Z790-AYW WIFI W-CSM,,LGA1700,ATX,192,4,White,False,ASUS
Zotac IONITX-T-U,,Integrated Atom D525,Mini ITX,4,2,,False,Zotac
Asus M5A99X EVO R2.0,,AM3+,ATX,32,4,Black / Blue,False,ASUS
MSI A58M-E35,,FM2+,Micro ATX,32,2,Black / Blue,False,MSI
Asus PRIME H510M-K,2160.0,LGA1200,Micro ATX,64,2,Black / Silver,True,ASUS
Asus B150 PRO GAMING/AURA,,LGA1151,ATX,64,4,Black / Red,False,ASUS
ASRock B75M-GL R2.0,,LGA1155,Micro ATX,16,2,Brown / Black,False,ASRock
Gigabyte GA-B365M-HD3,,LGA1151,Micro ATX,32,2,Black / Silver,False,Gigabyte
ECS CDC-I/D2500(1.0),,Integrated Atom D2500,Mini ITX,4,2,Black / Silver,False,ECS
Jetway JXBLUE-H55-MINI-LF,,LGA1156,Micro ATX,8,2,,False,Jetway
Gigabyte Z790 AORUS ELITE X,,LGA1700,ATX,192,4,Black,False,Gigabyte
Asus M4A78L-M,,AM3/AM2+/AM2,Micro ATX,8,2,,False,ASUS
Jetway JMA3-79GDGD-LF,,AM3/AM2+/AM2,Micro ATX,8,4,,False,Jetway
MSI B550M PRO-VDH WIFI,2199.79,AM4,Micro ATX,128,4,Black,True,MSI
Asus Rampage III Formula,,LGA1366,ATX,24,6,Black / Red,False,ASUS
Asus P8H67-M EVO,,LGA1155,Micro ATX,32,4,Black / Blue,False,ASUS
MSI PRO B650M-A WIFI,2919.8,AM5,Micro ATX,192,4,Black,True,MSI
Biostar G41D3,,LGA775,Micro ATX,8,2,Black / Red,False,Biostar
Sapphire PURE Black 990FX,,AM3+/AM3,ATX,16,4,,False,Sapphire
Gigabyte GA-Z77X-UP7,,LGA1155,EATX,32,4,Black / Orange,False,Gigabyte
