name,price,type,efficiency,wattage,modular,color,brand
MSI MAG A750GL PCIE5,2199.79,ATX,gold,750,Full,Black,MSI
MSI MAG A850GL PCIE5,2439.79,ATX,gold,850,Full,Black,MSI
MSI MAG A650BN,1499.6,ATX,bronze,650,false,Black,MSI
Corsair RM1000e (2023),3599.8,ATX,gold,1000,Full,Black,Corsair
MSI MAG A550BN,1099.8,ATX,bronze,550,false,Black,MSI
Corsair SF1000 (2024),4799.8,SFX,platinum,1000,Full,Black,Corsair
MSI MAG A650GL,2598.8,ATX,gold,650,Full,Black,MSI
Cooler Master MWE Gold 850 - V2,1799.8,ATX,gold,850,Full,Black,Cooler Master
Corsair SF750 (2024),3599.8,SFX,platinum,750,Full,Black,Corsair
Montech CENTURY II,1798.0,ATX,gold,850,Full,Black,Montech
Corsair CX (2023),1399.6,ATX,bronze,650,false,Black,Corsair
Asus ROG THOR 1600T Gaming,19739.59,ATX,titanium,1600,Full,Silver / Black,ASUS
be quiet! Pure Power 12 M,2498.0,ATX,gold,850,Full,Black,be quiet!
MSI MAG A850GL PCIE5,2659.8,ATX,gold,850,Full,White,MSI
Corsair RM850,2499.79,ATX,gold,850,Full,White / Black,Corsair
Corsair SF850 (2024),3899.8,SFX,platinum,850,Full,Black,Corsair
be quiet! Pure Power 12 M,1978.0,ATX,gold,750,Full,Black,be quiet!
Thermaltake Toughpower GX2,1399.6,ATX,gold,600,false,Black,Thermaltake
Lian Li EDGE,3645.6,ATX,platinum,1000,Full,White,Lian Li
Apevia Galaxy,1099.8,ATX,gold,650,Semi,Black,Apevia
Thermaltake Toughpower GF1 (2024),2079.79,ATX,gold,850,Full,Black,Thermaltake
MSI MAG A750BN PCIE5,1499.6,ATX,bronze,750,false,Black,MSI
Lian Li SP,2559.79,SFX,gold,750,Full,Black,Lian Li
Cooler Master V850 SFX GOLD,2999.8,SFX,gold,850,Full,Black,Cooler Master
Corsair CX (2023),1299.6,ATX,bronze,550,false,Black,Corsair
be quiet! Dark Power 13,5347.2,ATX,titanium,1000,Full,Black,be quiet!
Corsair HX1500i (2023),5179.8,ATX,platinum,1500,Full,Black,Corsair
Corsair CX650M (2021),1499.6,ATX,bronze,650,Semi,Black,Corsair
SAMA GT,1399.8,ATX,gold,650,Full,Black,SAMA
Asus ROG STRIX 1200P Gaming,5099.8,ATX,platinum,1200,Full,Black / Silver,ASUS
Corsair RM750,2399.0,ATX,gold,750,Full,White / Black,Corsair
Montech CENTURY II,2198.0,ATX,gold,1050,Full,Black,Montech
Corsair RM850e (2023),3799.8,ATX,gold,850,Full,Black,Corsair
Lian Li SP750,2319.79,SFX,gold,750,Full,White,Lian Li
Corsair HX1200i,4399.8,ATX,platinum,1200,Full,Black,Corsair
Corsair RM850x (2021),3979.6,ATX,gold,850,Full,Black,Corsair
Gigabyte P650G,1399.8,ATX,gold,650,false,Black,Gigabyte
Apevia Prestige,1039.8,ATX,gold,600,false,Black,Apevia
Lian Li EDGE,3199.8,ATX,platinum,1000,Full,Black,Lian Li
be quiet! Pure Power 12 M,2798.0,ATX,gold,1000,Full,Black,be quiet!
Asus TUF Gaming 1000G,3338.39,ATX,gold,1000,Full,Black,ASUS
NZXT C850 (2024),2499.79,ATX,gold,850,Full,Black,NZXT
Segotep GN,1199.8,ATX,gold,650,false,Black,Segotep
Lian Li EDGE,4548.8,ATX,platinum,1300,Full,White,Lian Li
Corsair RM750x SHIFT,3099.8,ATX,gold,750,Full / Side,Black,Corsair
Corsair CX (2023),1799.8,ATX,bronze,750,false,Black,Corsair
Gigabyte UD850GM,2000.0,ATX,gold,850,Full,Black,Gigabyte
SeaSonic Focus GX V4 ATX 3 (2024),3199.8,ATX,gold,850,Full,Black,Seasonic
Corsair CX750M (2021),1999.8,ATX,bronze,750,Semi,Black,Corsair
Lian Li EDGE GOLD,2419.79,ATX,gold,850,Full,White,Lian Li
SAMA GT,1299.8,ATX,gold,650,Full,White,SAMA
MSI A1000G PCIE5,3820.0,ATX,gold,1000,Full,Black,MSI
MSI MPG A850G PCIE5,3299.8,ATX,gold,850,Full,Black,MSI
