name,price,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics
AMD Ryzen 7 9800X3D,9030.0,8,4.7,5.2,Zen 5,120,Radeon
AMD Ryzen 7 7800X3D,6801.0,8,4.2,5.0,Zen 4,120,Radeon
AMD Ryzen 5 7600X,3409.8,6,4.7,5.3,Zen 4,105,Radeon
AMD Ryzen 5 9600X,4099.8,6,3.9,5.4,Zen 5,65,Radeon
AMD Ryzen 7 7700X,4859.59,8,4.5,5.4,Zen 4,105,Radeon
AMD Ryzen 9 9950X3D,12999.8,16,4.3,5.7,Zen 5,170,Radeon
AMD Ryzen 5 5500,1484.4,6,3.6,4.2,Zen 3,65,
AMD Ryzen 7 9700X,6117.79,8,3.8,5.5,Zen 5,65,Radeon
AMD Ryzen 5 5600X,3179.8,6,3.7,4.6,Zen 3,65,
AMD Ryzen 5 5600,2512.19,6,3.5,4.4,Zen 3,65,
AMD Ryzen 7 5800X,3599.0,8,3.8,4.7,Zen 3,105,
Intel Core i7-14700K,5943.4,20,3.4,5.6,Raptor Lake Refresh,125,Intel UHD Graphics 770
Intel Core i9-14900K,8780.0,24,3.2,6.0,Raptor Lake Refresh,125,Intel UHD Graphics 770
Intel Core i5-12400F,2179.79,6,2.5,4.4,Alder Lake,65,
AMD Ryzen 5 3600,1595.0,6,3.6,4.2,Zen 2,65,
AMD Ryzen 5 7600,3939.4,6,3.8,5.1,Zen 4,65,Radeon
AMD Ryzen 7 5700X,3099.8,8,3.4,4.6,Zen 3,65,
AMD Ryzen 9 7900X,6282.2,12,4.7,5.6,Zen 4,170,Radeon
AMD Ryzen 9 9900X,7180.0,12,4.4,5.6,Zen 5,120,Radeon
Intel Core i5-14600K,3799.8,14,3.5,5.3,Raptor Lake Refresh,125,Intel UHD Graphics 770
Intel Core Ultra 7 265K,5399.8,20,3.9,5.5,Arrow Lake,125,Intel Xe
AMD Ryzen 7 5700X3D,6266.0,8,3.0,4.1,Zen 3,105,
Intel Core i5-14400F,2519.79,10,2.5,4.7,Raptor Lake Refresh,65,
AMD Ryzen 9 9950X,10676.6,16,4.3,5.7,Zen 5,170,Radeon
AMD Ryzen 5 7500F,,6,3.7,5.0,Zen 4,65,
AMD Ryzen 7 5800XT,2800.0,8,3.8,4.8,Zen 3,105,
Intel Core Ultra 9 285K,11199.8,24,3.7,5.7,Arrow Lake,125,Intel Xe
Intel Core i7-12700K,4283.0,12,3.6,5.0,Alder Lake,125,Intel UHD Graphics 770
AMD Ryzen 5 7600X3D,8670.0,6,4.1,4.7,Zen 4,65,Radeon
AMD Ryzen 5 5600G,2699.8,6,3.9,4.4,Zen 3,65,Radeon Vega 7
AMD Ryzen 7 7700,5879.4,8,3.6,5.3,Zen 4,65,Radeon
Intel Core i5-13400F,3029.4,10,2.5,4.6,Raptor Lake,65,
AMD Ryzen 5 7500F,,6,3.7,5.0,Zen 4,65,
Intel Core i7-12700KF,3499.8,12,3.6,5.0,Alder Lake,125,
AMD Ryzen 9 5900X,5099.8,12,3.7,4.8,Zen 3,105,
AMD Ryzen 7 3700X,2858.8,8,3.6,4.4,Zen 2,65,
Intel Core i5-12600KF,2599.8,10,3.7,4.9,Alder Lake,125,
AMD Ryzen 5 8400F,2751.39,6,4.2,4.7,Zen 4,65,
AMD Ryzen 5 8500G,3050.0,6,4.1,5.0,Zen 4,65,Radeon 740M
AMD Threadripper 3990X,53999.8,64,2.9,4.3,Zen 2,280,
Intel Core i5-12600K,2963.8,10,3.7,4.9,Alder Lake,125,Intel UHD Graphics 770
AMD Ryzen 7 5700G,3499.4,8,3.8,4.6,Zen 3,65,Radeon Vega 8
AMD Ryzen 9 5950X,5499.8,16,3.4,4.9,Zen 3,105,
AMD Ryzen 7 5800X3D,14097.2,8,3.4,4.5,Zen 3,105,
Intel Core i3-12100F,1589.0,4,3.3,4.3,Alder Lake,58,
AMD Ryzen 9 7950X,8999.19,16,4.5,5.7,Zen 4,170,Radeon
Intel Core i5-14600KF,3959.6,14,3.5,5.3,Raptor Lake Refresh,125,
