name,price,rpm_min,rpm_max,noise_min_db,noise_max_db,color,radiator_size,cooler_type,price_available,brand
Alphacool Core Ocean T38,1615.0,,,0.0,36.0,Black,280.0,AIO,True,Alphacool
ARCTIC Liquid Freezer 240,,500.0,1350.0,,,,240.0,AIO,False,ARCTIC
Antec VORTEX 360,,600.0,2000.0,31.24,31.24,Black,360.0,AIO,False,Antec
Cooler Master Hyper 212 RGB Black Edition,1199.8,650.0,2000.0,8.0,30.0,,,Air,True,Cooler Master
Thermalright Silver Arrow ITX,,300.0,1300.0,17.0,24.9,,,Air,False,Thermalright
Thermalright Frozen Magic Scenic V2,,2000.0,2000.0,31.4,31.4,White,280.0,AIO,False,Thermalright
Mars Gaming ML-ONE,1423.6,600.0,1800.0,9.0,26.0,Black,240.0,AIO,True,Mars Gaming
ARCTIC Liquid Freezer II 360 RGB,,200.0,1800.0,22.5,22.5,Black / Gray,360.0,AIO,False,ARCTIC
Mars Gaming MCPU-X5,,800.0,2000.0,9.0,28.0,White,,Air,False,Mars Gaming
Cooler Master MasterLiquid ML280 Mirror,,650.0,1400.0,10.0,27.0,Black,280.0,AIO,False,Cooler Master
ID-COOLING FX360 INF,1399.6,300.0,2000.0,27.2,27.2,Black,360.0,AIO,True,ID-COOLING
Xilence LQ240,1833.8,700.0,1600.0,18.0,32.5,Red / Black,240.0,AIO,True,Xilence
Jonsbo HP-400,,800.0,3000.0,14.0,33.0,Blue / White,,Air,False,Jonsbo
Rosewill RCX-ZAIO-92,799.0,600.0,2500.0,14.5,25.0,,,Air,True,Rosewill
ID-COOLING FROSTFLOW+ 280,,800.0,1600.0,16.8,32.6,Black / White,280.0,AIO,False,ID-COOLING
Phononic HEX 2.0,,1000.0,2650.0,17.0,33.0,,,Air,False,Desconocida
Asus ROG Ryujin III,6599.8,600.0,2200.0,36.45,36.45,White,360.0,AIO,True,ASUS
Logisys AC2200BT,,2200.0,2200.0,30.1,30.1,,,Air,False,Logisys
FSP Group Windale 6,,600.0,1600.0,32.0,32.0,,,Air,False,FSP
Lian Li Galahad II Trinity Performance,,2300.0,3000.0,32.1,39.9,Black,360.0,AIO,False,Lian Li
KOLINK Umbra EX180,,800.0,1800.0,28.6,28.6,Black,,Air,False,KOLINK
Jonsbo TG-360,,900.0,1800.0,,,Black,360.0,AIO,False,Jonsbo
ID-COOLING IS-20i,,800.0,2700.0,14.0,23.0,,,Air,False,ID-COOLING
Prolimatech PRO-GNSS,,800.0,1600.0,,,,,Air,False,Prolimatech
Thermalright Phantom Spirit 120 SE ARGB,758.0,1500.0,1500.0,25.6,25.6,Black / Silver,,Air,True,Thermalright
Yeston zeaginal Sakura,,900.0,1800.0,30.0,30.0,White,360.0,AIO,False,Desconocida
Deepcool AK620 DIGITAL,,500.0,1850.0,28.0,28.0,Black,,Air,False,DeepCool
SilentiumPC Navis RGB 280,,800.0,1800.0,,,Black,280.0,AIO,False,SilentiumPC
Lian Li GALAHAD AIO 240 RGB UNI FAN SL120 EDITION,,800.0,1900.0,32.0,32.0,White / Silver,240.0,AIO,False,Lian Li
Antec Symphony ARGB,,800.0,1600.0,20.0,35.0,Black,360.0,AIO,False,Antec
GameMax Twin 600,,800.0,2500.0,,,White,,Air,False,GameMax
ID-COOLING SE-213V2-B Lite,,1600.0,1600.0,26.4,26.4,,,Air,False,ID-COOLING
ID-COOLING SE-802-SD,,2200.0,2200.0,23.3,23.3,,,Air,False,ID-COOLING
