name,price,type,max_motherboard_form_factor,color,included_psu_wattage,has_included_psu,side_panel,external_volume,internal_35_bays,price_available,brand
Montech XR,1671.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,45.0,2,True,Montech
Phanteks XT PRO,1359.6,ATX Mid Tower,ATX,Black,,False,Tempered Glass,51.8,2,True,Phanteks
NZXT H5 Flow (2024),1699.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,45.0,1,True,NZXT
Corsair 3500X ARGB,2319.79,ATX Mid Tower,ATX,White,,False,Tempered Glass,55.9,2,True,Corsair
Cooler Master MasterBox Q300L,919.59,MicroATX Mini Tower,Micro ATX,Black,,False,Acrylic,33.6,1,True,Cooler Master
Corsair 4000D Airflow,1899.8,ATX Mid Tower,ATX,Black,,False,Tinted Tempered Glass,48.6,2,True,Corsair
Lian Li Lancool 207,1639.8,ATX Mid Tower,ATX,Blue,,False,Tempered Glass,45.5,2,True,Lian Li
NZXT H9 Flow (2023),2399.79,ATX Mid Tower,ATX,Black,,False,Tempered Glass,66.9,2,True,NZXT
Lian Li O11 VISION COMPACT,2499.79,ATX Mid Tower,ATX,White,,False,Tempered Glass,57.4,2,True,Lian Li
Corsair 3500X ARGB,2319.79,ATX Mid Tower,ATX,Black,,False,Tempered Glass,55.9,2,True,Corsair
Montech AIR 100 ARGB,1398.0,MicroATX Mid Tower,Micro ATX,Black,,False,Tempered Glass,36.1,2,True,Montech
Montech AIR 903 MAX,1499.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,54.2,2,True,Montech
Lian Li A3-mATX,1459.6,MicroATX Mini Tower,Micro ATX,Black,,False,Mesh,26.3,1,True,Lian Li
Fractal Design North,2799.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,45.1,2,True,Fractal Design
HYTE Y70 Touch Infinite,8799.0,ATX Mid Tower,ATX,White,,False,Tempered Glass,70.7,2,True,HYTE
Fractal Design North XL,3599.8,ATX Full Tower,ATX,Black,,False,Tinted Tempered Glass,61.4,2,True,Fractal Design
Lian Li O11 VISION COMPACT,2499.79,ATX Mid Tower,ATX,Black,,False,Tempered Glass,57.4,2,True,Lian Li
NZXT H5 Flow (2024),1199.8,ATX Mid Tower,ATX,White,,False,Tempered Glass,45.0,1,True,NZXT
Lian Li A3-mATX,1799.8,MicroATX Mini Tower,Micro ATX,Black / Brown,,False,Mesh,26.3,1,True,Lian Li
Phanteks XT PRO ULTRA,1619.6,ATX Mid Tower,ATX,Black,,False,Tempered Glass,51.8,2,True,Phanteks
NZXT H9 Flow (2023),1999.8,ATX Mid Tower,ATX,White,,False,Tempered Glass,66.9,2,True,NZXT
Montech XR,1597.8,ATX Mid Tower,ATX,White,,False,Tempered Glass,45.0,2,True,Montech
Lian Li O11D EVO RGB,3199.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,65.3,4,True,Lian Li
NZXT H6 Flow,2199.4,ATX Mid Tower,ATX,Black,,False,Tempered Glass,51.8,1,True,NZXT
Montech AIR 903 BASE,1299.6,ATX Mid Tower,ATX,Black,,False,Tempered Glass,54.2,2,True,Montech
HYTE Y70 Touch Infinite,11288.0,ATX Mid Tower,ATX,Black,,False,Tempered Glass,70.7,2,True,HYTE
NZXT H6 Flow,1799.4,ATX Mid Tower,ATX,White,,False,Tempered Glass,51.8,1,True,NZXT
Corsair FRAME 4000D RS ARGB,2099.79,ATX Mid Tower,ATX,Black,,False,Tempered Glass,56.7,2,True,Corsair
NZXT H3 Flow,1399.6,MicroATX Mid Tower,Micro ATX,Black,,False,Tinted Tempered Glass,35.0,1,True,NZXT
Fractal Design Terra,3599.8,Mini ITX Desktop,Mini ITX,Black / Brown,,False,Mesh,11.4,0,True,Fractal Design
Antec C5 ARGB,2299.79,ATX Mid Tower,ATX,Black,,False,Tempered Glass,,1,True,Antec
Fractal Design Pop XL Air,2399.4,ATX Full Tower,ATX,Black,,False,Tempered Glass,62.4,3,True,Fractal Design
Lian Li LANCOOL 217,2550.0,ATX Mid Tower,ATX,Black / Brown,,False,Tempered Glass,57.7,1,True,Lian Li
Lian Li O11 Dynamic EVO XL,5099.59,ATX Full Tower,ATX,Black,,False,Tempered Glass,84.4,4,True,Lian Li
Montech KING 95 PRO,2979.6,ATX Mid Tower,ATX,Black,,False,Tempered Glass,63.0,5,True,Montech
Fractal Design Meshify C,2199.79,ATX Mid Tower,ATX,Black,,False,Tinted Tempered Glass,40.6,2,True,Fractal Design
Cooler Master MasterBox NR200,1345.8,Mini ITX Desktop,Mini ITX,Black,,False,Solid,20.3,2,True,Cooler Master
Okinos Aqua 3,1299.6,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,28.8,2,True,Okinos
Lian Li LANCOOL 216 RGB,2059.4,ATX Mid Tower,ATX,Black,,False,Tempered Glass,55.6,2,True,Lian Li
HYTE Y70,4399.8,ATX Mid Tower,ATX,White,,False,Tempered Glass,70.7,2,True,HYTE
