name,price,socket,form_factor,max_memory,memory_slots,color,price_available,brand
Asus PRIME B650-PLUS WIFI,3199.8,AM5,ATX,192,4,Black / Silver,True,ASUS
MSI B650 GAMING PLUS WIFI,3399.8,AM5,ATX,192,4,Black,True,MSI
MSI MAG B650 TOMAHAWK WIFI,3788.39,AM5,ATX,256,4,Black,True,MSI
Gigabyte X870E AORUS ELITE WIFI7,6506.2,AM5,ATX,256,4,Black,True,Gigabyte
Asus PRIME B550M-A WIFI II,1999.8,AM4,Micro ATX,128,4,Blue / Silver,True,ASUS
Gigabyte B650 EAGLE AX,3159.8,AM5,ATX,192,4,Gray / Black,True,Gigabyte
Asus TUF GAMING B850-PLUS WIFI,4359.8,AM5,ATX,192,4,Black / Silver,True,ASUS
ASRock B650M Pro RS WiFi,2799.8,AM5,Micro ATX,256,4,Black / Silver,True,ASRock
MSI MAG X870 TOMAHAWK WIFI,5399.8,AM5,ATX,256,4,Black,True,MSI
Gigabyte A520M K V2,1369.4,AM4,Micro ATX,64,2,Brown / Black,True,Gigabyte
Asus B650E MAX GAMING WIFI W,2999.8,AM5,ATX,256,4,White,True,ASUS
MSI PRO B650-S WIFI,2719.8,AM5,ATX,192,4,Black,True,MSI
Gigabyte B550M K,1999.8,AM4,Micro ATX,128,4,Brown / Silver,True,Gigabyte
ASRock B850I Lightning WiFi,5068.8,AM5,Mini ITX,128,2,Black,True,ASRock
MSI B760 GAMING PLUS WIFI,3399.8,LGA1700,ATX,192,4,Black / Silver,True,MSI
MSI PRO B550M-VC WIFI,1999.8,AM4,Micro ATX,128,4,Black,True,MSI
MSI PRO Z790-A MAX WIFI,4400.0,LGA1700,ATX,192,4,Silver / Black,True,MSI
Asus TUF GAMING B650-PLUS WIFI,3199.8,AM5,ATX,128,4,Black,True,ASUS
Gigabyte X870 EAGLE WIFI7,4599.8,AM5,ATX,256,4,Black,True,Gigabyte
Gigabyte X870 AORUS ELITE WIFI7 ICE,5999.8,AM5,ATX,256,4,White,True,Gigabyte
MSI B550M PRO-VDH WIFI,2199.79,AM4,Micro ATX,128,4,Black,True,MSI
Asus ROG STRIX X870E-E GAMING WIFI,9560.2,AM5,ATX,192,4,Black,True,ASUS
ASRock B850M-X WiFi R2.0,2599.8,AM5,Micro ATX,128,2,Black / White,True,ASRock
Gigabyte B850 EAGLE WIFI6E,3599.8,AM5,ATX,256,4,Gray / Black,True,Gigabyte
MSI MAG B850 TOMAHAWK MAX WIFI,4399.8,AM5,ATX,256,4,Black / Green,True,MSI
