name,price,type,efficiency,wattage,modular,color
MSI MAG A750GL PCIE5,2199.79,ATX,gold,750,Full,Black
MSI MAG A850GL PCIE5,2439.79,ATX,gold,850,Full,Black
MSI MAG A650BN,1499.6,ATX,bronze,650,false,Black
Corsair RM1000e (2023),3599.8,ATX,gold,1000,Full,Black
MSI MAG A550BN,1099.8,ATX,bronze,550,false,Black
Corsair SF1000 (2024),4799.8,SFX,platinum,1000,Full,Black
MSI MAG A650GL,2598.8,ATX,gold,650,Full,Black
Cooler Master MWE Gold 850 - V2,1799.8,ATX,gold,850,Full,Black
Corsair SF750 (2024),3599.8,SFX,platinum,750,Full,Black
Montech CENTURY II,1798.0,ATX,gold,850,Full,Black
Corsair CX (2023),1399.6,ATX,bronze,650,false,Black
Asus ROG THOR 1600T Gaming,19739.59,ATX,titanium,1600,Full,Silver / Black
be quiet! Pure Power 12 M,2498.0,ATX,gold,850,Full,Black
MSI MAG A850GL PCIE5,2659.8,ATX,gold,850,Full,White
Corsair RM850,2499.79,ATX,gold,850,Full,White / Black
Corsair SF850 (2024),3899.8,SFX,platinum,850,Full,Black
be quiet! Pure Power 12 M,1978.0,ATX,gold,750,Full,Black
Thermaltake Toughpower GX2,1399.6,ATX,gold,600,false,Black
Lian Li EDGE,3645.6,ATX,platinum,1000,Full,White
Apevia Galaxy,1099.8,ATX,gold,650,Semi,Black
Thermaltake Toughpower GF1 (2024),2079.79,ATX,gold,850,Full,Black
MSI MAG A750BN PCIE5,1499.6,ATX,bronze,750,false,Black
Lian Li SP,2559.79,SFX,gold,750,Full,Black
Cooler Master V850 SFX GOLD,2999.8,SFX,gold,850,Full,Black
Corsair CX (2023),1299.6,ATX,bronze,550,false,Black
be quiet! Dark Power 13,5347.2,ATX,titanium,1000,Full,Black
Corsair HX1500i (2023),5179.8,ATX,platinum,1500,Full,Black
Corsair CX650M (2021),1499.6,ATX,bronze,650,Semi,Black
SAMA GT,1399.8,ATX,gold,650,Full,Black
Asus ROG STRIX 1200P Gaming,5099.8,ATX,platinum,1200,Full,Black / Silver
Corsair RM750,2399.0,ATX,gold,750,Full,White / Black
Montech CENTURY II,2198.0,ATX,gold,1050,Full,Black
Corsair RM850e (2023),3799.8,ATX,gold,850,Full,Black
Lian Li SP750,2319.79,SFX,gold,750,Full,White
Corsair HX1200i,4399.8,ATX,platinum,1200,Full,Black
Corsair RM850x (2021),3979.6,ATX,gold,850,Full,Black
Gigabyte P650G,1399.8,ATX,gold,650,false,Black
Apevia Prestige,1039.8,ATX,gold,600,false,Black
Lian Li EDGE,3199.8,ATX,platinum,1000,Full,Black
be quiet! Pure Power 12 M,2798.0,ATX,gold,1000,Full,Black
Asus TUF Gaming 1000G,3338.39,ATX,gold,1000,Full,Black
NZXT C850 (2024),2499.79,ATX,gold,850,Full,Black
Segotep GN,1199.8,ATX,gold,650,false,Black
Lian Li EDGE,4548.8,ATX,platinum,1300,Full,White
