name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Corsair Vengeance RGB 32 GB,1899.8,"5,6000","2,16",2.968,Black,12.0,36.0
G.Skill Flare X5 32 GB,1799.8,"5,6000","2,16",2.812,Black,12.0,36.0
Corsair Vengeance LPX 16 GB,919.8,"4,3200","2,8",2.874,Black / Yellow,10.0,16.0
Corsair Vengeance 32 GB,2599.8,"5,6000","2,16",4.062,Black / Gray,10.0,30.0
TEAMGROUP T-Create Expert 32 GB,1979.8,"5,6000","2,16",3.093,Black,10.0,30.0
Corsair Vengeance LPX 32 GB,1559.6,"4,3600","2,16",2.437,Black / Yellow,10.0,18.0
Crucial Pro Overclocking 32 GB,1699.8,"5,6000","2,16",2.656,Black,12.0,36.0
G.Skill Trident Z5 RGB 64 GB,4699.8,"5,6400","2,32",3.672,Black / Silver,10.0,32.0
Corsair Vengeance RGB 64 GB,4599.8,"5,6000","2,32",3.594,Black,10.0,30.0
TEAMGROUP T-Force Delta RGB 32 GB,2119.79,"5,6000","2,16",3.312,White,10.0,30.0
G.Skill Trident Z5 Neo RGB 32 GB,2399.79,"5,6000","2,16",3.75,Black,10.0,30.0
Patriot Viper Venom 32 GB,1719.8,"5,6000","2,16",2.687,Black / White,10.0,30.0
Corsair Vengeance RGB Pro 32 GB,2300.0,"4,3600","2,16",3.594,Black,10.0,18.0
TEAMGROUP T-Force Delta RGB 32 GB,2119.79,"5,6000","2,16",3.312,Black,10.0,30.0
Corsair Vengeance RGB 32 GB,1919.8,"5,6000","2,16",3.0,White / Silver,12.0,36.0
Silicon Power GAMING 16 GB,659.4,"4,3200","2,8",2.061,Black / Gray,10.0,16.0
TEAMGROUP T-Force Vulcan Z 16 GB,779.8,"4,3200","2,8",2.437,Black,10.0,16.0
Corsair Vengeance LPX 32 GB,1439.6,"4,3200","2,16",2.249,Black / Yellow,10.0,16.0
Kingston FURY Beast 32 GB,2459.79,"5,6000","2,16",3.843,Black,10.0,30.0
G.Skill Trident Z5 Neo RGB 64 GB,4159.8,"5,6000","2,32",3.25,Black / Silver,10.0,30.0
G.Skill Ripjaws V 32 GB,1439.6,"4,3200","2,16",2.249,Black,10.0,16.0
TEAMGROUP T-Create Expert 32 GB,1979.8,"5,6000","2,16",3.093,White,10.0,30.0
G.Skill Flare X5 32 GB,2199.79,"5,6000","2,16",3.437,Black,10.0,30.0
Kingston FURY Beast 16 GB,1258.59,"5,5200","2,8",3.933,Black,15.385,40.0
Corsair Vengeance RGB Pro 16 GB,1099.8,"4,3200","2,8",3.437,Black,10.0,16.0
Silicon Power Value Gaming 32 GB,1819.4,"5,6000","2,16",2.843,Black,10.0,30.0
Corsair Vengeance 64 GB,3125.6,"5,5200","2,32",2.442,Black,15.385,40.0
G.Skill Flare X5 64 GB,3879.6,"5,6000","2,32",3.031,Black,10.0,30.0
TEAMGROUP T-Force Vulcan 32 GB,1939.8,"5,6000","2,16",3.031,Black,10.0,30.0
Silicon Power GAMING 32 GB,1219.8,"4,3200","2,16",1.906,Black,10.0,16.0
