name,price,capacity,price_per_gb,type,cache,form_factor,interface
Samsung 990 Pro,2999.8,2000.0,0.075,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,5999.8,4000.0,0.075,SSD,4096.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,1999.8,1000.0,0.1,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 9100 PRO,8599.79,4000.0,0.107,SSD,4096.0,M.2-2280,M.2 PCIe 5.0 X4
Seagate Barracuda Compute,1339.8,2000.0,0.033,7200,256.0,3.5,SATA 6.0 Gb/s
Samsung 870 Evo,1858.0,1000.0,0.093,SSD,1024.0,2.5,SATA 6.0 Gb/s
Samsung 9100 PRO,4599.8,2000.0,0.115,SSD,2048.0,M.2-2280,M.2 PCIe 5.0 X4
Seagate IronWolf Pro,9599.79,24000.0,0.02,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,1499.8,4000.0,0.019,5400,256.0,3.5,SATA 6.0 Gb/s
Samsung 980 Pro,3699.0,2000.0,0.092,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,2680.0,1000.0,0.134,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Blue,859.8,1000.0,0.043,7200,64.0,3.5,SATA 6.0 Gb/s
Samsung 870 Evo,5300.0,4000.0,0.066,SSD,4096.0,2.5,SATA 6.0 Gb/s
Samsung 980 Pro,2800.0,1000.0,0.14,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,2600.0,8000.0,0.016,5400,256.0,3.5,SATA 6.0 Gb/s
Samsung 870 Evo,3374.8,2000.0,0.084,SSD,2048.0,2.5,SATA 6.0 Gb/s
Samsung 9100 PRO,3099.8,1000.0,0.155,SSD,1024.0,M.2-2280,M.2 PCIe 5.0 X4
Samsung 870 Evo,1099.8,500.0,0.11,SSD,512.0,2.5,SATA 6.0 Gb/s
Samsung 970 Evo Plus,1599.8,500.0,0.16,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Acer Predator GM7000,2499.79,2000.0,0.062,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,1299.6,2000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,1091.8,1000.0,0.055,7200,64.0,3.5,SATA 6.0 Gb/s
Western Digital WD_BLACK SN8100,9299.79,4000.0,0.116,SSD,4096.0,M.2-2280,M.2 PCIe 5.0 X4
Samsung 970 Evo Plus,3799.0,2000.0,0.095,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Samsung 990 Pro w/Heatsink,3199.8,2000.0,0.08,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_BLACK SN8100,4499.8,2000.0,0.112,SSD,2048.0,M.2-2280,M.2 PCIe 5.0 X4
MSI SPATIUM M480 PRO,2399.79,2000.0,0.06,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro w/Heatsink,6301.0,4000.0,0.079,SSD,4096.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 9100 PRO w/Heatsink,8999.79,4000.0,0.112,SSD,4096.0,M.2-2280,M.2 PCIe 5.0 X4
Seagate IronWolf NAS,3411.8,8000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,9999.79,24000.0,0.021,7200,512.0,3.5,SATA 6.0 Gb/s
Samsung 970 Evo,2922.6,1000.0,0.146,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate Exos X24,9599.79,24000.0,0.02,7200,512.0,3.5,SATA 6.0 Gb/s
Samsung 860 Evo,2842.6,1000.0,0.142,SSD,1024.0,2.5,SATA 6.0 Gb/s
Western Digital WD Red Pro,9599.79,26000.0,0.018,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,1999.8,4000.0,0.025,5400,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,764.4,1000.0,0.038,7200,64.0,3.5,SATA 6.0 Gb/s
MSI SPATIUM M480 PRO,2193.4,1000.0,0.11,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,1340.0,2000.0,0.034,7200,64.0,3.5,SATA 6.0 Gb/s
Samsung 990 Pro w/Heatsink,2199.79,1000.0,0.11,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,1395.8,250.0,0.279,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Crucial P5 Plus,3199.8,1000.0,0.16,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Plus,1999.8,4000.0,0.025,5400,256.0,3.5,SATA 6.0 Gb/s
Crucial MX500,2999.8,1000.0,0.15,SSD,1024.0,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK SN8100,3399.8,1000.0,0.17,SSD,1024.0,M.2-2280,M.2 PCIe 5.0 X4
Western Digital Red Plus,3599.8,10000.0,0.018,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos X24 SED,11431.8,24000.0,0.024,7200,512.0,3.5,SATA 6.0 Gb/s
Gigabyte AORUS Gen4 7300,1839.8,1000.0,0.092,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,2499.79,8000.0,0.016,5400,256.0,3.5,SATA 6.0 Gb/s
Samsung 860 Evo,2180.0,500.0,0.218,SSD,512.0,2.5,SATA 6.0 Gb/s
Acer Predator GM7000,1559.6,1000.0,0.078,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate Surveillance HDD,1980.0,2000.0,0.05,5400,64.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,3000.0,4000.0,0.037,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,4999.8,12000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s
Samsung 9100 PRO w/Heatsink,4999.8,2000.0,0.125,SSD,2048.0,M.2-2280,M.2 PCIe 5.0 X4
Toshiba HDKBB96,599.0,1000.0,0.03,5400,8.0,2.5,SATA 6.0 Gb/s
Western Digital Red Plus,3177.0,8000.0,0.02,5640,256.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,1459.8,4000.0,0.018,5400,256.0,3.5,SATA 6.0 Gb/s
Samsung 970 Evo,2122.6,500.0,0.212,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Crucial P5 Plus,4576.0,2000.0,0.114,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Blue,599.79,500.0,0.06,7200,16.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,8399.79,20000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s
