name,price,capacity,type,cache,form_factor,interface,brand
Samsung 990 Pro,2999.8,2000.0,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,Samsung
Samsung 990 Pro,5999.8,4000.0,SSD,4096.0,M.2-2280,M.2 PCIe 4.0 X4,Samsung
Samsung 990 Pro,1999.8,1000.0,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,Samsung
Samsung 9100 PRO,8599.79,4000.0,SSD,4096.0,M.2-2280,M.2 PCIe 5.0 X4,Samsung
Seagate Barracuda Compute,1339.8,2000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Samsung 870 Evo,1858.0,1000.0,SSD,1024.0,2.5,SATA 6.0 Gb/s,Samsung
Samsung 9100 PRO,4599.8,2000.0,SSD,2048.0,M.2-2280,M.2 PCIe 5.0 X4,Samsung
Seagate IronWolf Pro,9599.79,24000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate BarraCuda,1499.8,4000.0,5400,256.0,3.5,SATA 6.0 Gb/s,Seagate
Samsung 980 Pro,3699.0,2000.0,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,Samsung
Samsung 970 Evo Plus,2680.0,1000.0,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4,Samsung
Western Digital Caviar Blue,859.8,1000.0,7200,64.0,3.5,SATA 6.0 Gb/s,Western Digital
Samsung 870 Evo,5300.0,4000.0,SSD,4096.0,2.5,SATA 6.0 Gb/s,Samsung
Samsung 980 Pro,2800.0,1000.0,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,Samsung
Seagate Barracuda Compute,2600.0,8000.0,5400,256.0,3.5,SATA 6.0 Gb/s,Seagate
Samsung 870 Evo,3374.8,2000.0,SSD,2048.0,2.5,SATA 6.0 Gb/s,Samsung
Samsung 9100 PRO,3099.8,1000.0,SSD,1024.0,M.2-2280,M.2 PCIe 5.0 X4,Samsung
Samsung 870 Evo,1099.8,500.0,SSD,512.0,2.5,SATA 6.0 Gb/s,Samsung
Samsung 970 Evo Plus,1599.8,500.0,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4,Samsung
